ID,paid_late_fees,debt_to_income,credit_utilization_ratio,annual_income,average_age_of_credit,loan_to_income_ratio,employment_stability,credit_inquiries_trend,monthly_payment_burden,paid_principal,paid_interest,total_credit_limit,total_credit_utilized,target
89,0,13.77,0.486594319,32000,95.42857143,0.15625,1,1,0.0628275,348.63,150.49,37596,18294,0
90,0,9.61,0.847541051,78000,95.04761905,0.08974359,1,3,0.033727692,521.84,132.75,48354,40982,0
92,0,5.16,0.06095279,147000,182.2727273,0.204081633,1,6,0.059568163,663.32,769.42,386381,23551,1
100,0,49.58,0.657800432,23000,64.32258065,0.652173913,1,2,0.207344348,604.55,968.42,44927,29553,0
101,0,13.27,0.92137457,66000,180.9090909,0.16969697,1,0,0.070641818,1011.08,524.31,65475,60327,0
103,0,18.5,0.114001973,101000,48.90243902,0.198019802,0,2,0.072234059,496.32,1268.1,343573,39168,0
105,0,19.05,0.298213264,61000,48.73170732,0.118032787,1,9,0.048127869,663.61,339.46,141543,42210,0
112,0,29.58,0.111772214,55000,66.53333333,0.283636364,1,0,0.103669091,2000.72,369.76,245213,27408,1
114,0,13.49,0.70657612,95000,111.0555556,0.105263158,1,2,0.041008421,963.73,323.29,66559,47029,0
116,0,1.12,0.196366906,250000,166.6666667,0.12,0.5,0,0.047076,1422.93,502.24,27800,5459,1
118,0,25.23,0.536173114,42000,86.91304348,0.476190476,1,1,0.191465714,1394.44,587.93,55732,29882,0
122,0,15.3,0.616255144,63000,91,0.158730159,0.5,3,0.066984762,663.29,369.47,33048,20366,0
126,0,9.19,0.120847004,230000,99.9,0.052173913,1,2,0.020470957,1148.59,413.58,441037,53298,1
129,0,11.62,0.390408135,110000,133.7333333,0.077272727,0.5,6,0.028776,639.26,148.61,50939,19887,1
131,0,14.66,0.298295619,145000,69.06896552,0.275862069,1,0,0.101790621,4057.81,832.2,206996,61746,1
139,0,6.06,0.618053571,182000,74.25925926,0.175824176,0.5,2,0.049181538,2214.02,1951.73,56000,34611,0
142,0,33.19,0.749950715,31200,111.5,0.070512821,0.5,2,0.030207692,192.91,111.85,40580,30433,0
145,0,22.88,0.519415909,100000,104.7894737,0.35,1,2,0.140748,4109.62,1730.34,96081,49906,1
148,0,18.65,0.457218785,89000,100.05,0.220224719,0.5,0,0.07958427,2539.2,406.26,114770,52475,1
149,0,27.08,0.159419738,50000,100.25,0.52,0.5,2,0.1718112,740.71,1343.81,288973,46068,0
152,0,18.88,0.707950661,57000,57.4,0.206140351,0.5,3,0.061597895,511.81,663.95,97124,68759,0
156,0,0.33,0.433008432,97000,182.5454545,0.360824742,0.5,2,0.152247835,2321.84,1307.91,25854,11195,1
159,0,12.89,0.16701529,115000,62.0625,0.347826087,1,2,0.099385043,1370.35,1453.55,527790,88149,1
160,0,9.92,0.062752478,80000,69.06896552,0.15,0.5,3,0.055341,910.59,191.76,322553,20241,1
162,0,27.06,0.471595985,60000,87.13043478,0.166666667,1,2,0.06642,1184.35,519.45,94036,44347,1
163,0,13.3,0.497891374,50000,95.61904762,0.2,0,1,0.0815496,921.67,429.94,31300,15584,0
165,0,0.54,0.000165635,75000,118,0.32,1,4,0.0823856,1559.4,980.42,253569,42,1
166,0,16.72,0.129079286,182000,143.0714286,0.21978022,1,0,0.082609451,3988.49,987.73,604303,78003,1
171,0,5.96,0.74139366,60000,166.1666667,0.25,1,0,0.06993,706.92,679.95,13217,9799,0
172,0,22.49,0.44844712,100000,51.17948718,0.36,0.5,2,0.0974556,2213.72,1821.69,220075,98692,1
176,0,21.3,0.470204371,52000,105.6315789,0.288461538,0.5,1,0.080688462,888.87,847.65,73249,34442,1
177,0,8.63,0.917379438,68250,51.25641026,0.197802198,0.5,0,0.057747692,604.84,684.89,98559,90416,0
183,0,16.95,0.250908063,41200,100.3,0.242718447,0.5,0,0.090401942,1511.36,313.07,191066,47940,1
187,0,13.04,0.610398191,88000,48.73170732,0.113636364,1,2,0.042713182,10000,220.62,39353,24021,0
190,0,25.41,0.45993592,45000,100.35,0.355555556,1,3,0.150048,1424.53,811.95,72097,33160,1
192,0,27.74,0.507836074,69000,87.30434783,0.144927536,0.5,5,0.06412,10000,447.78,95775,48638,1
194,0,10.83,0.030311076,39000,152.5384615,0.435897436,0.5,0,0.177738462,1969.74,905.67,406749,12329,1
205,0,2.78,0.059588378,25000,86.69565217,0.26,1,0,0.0998448,474.5,142.72,41300,2461,0
210,0,27.71,0.393599707,100000,52.26315789,0.35,0.5,4,0.1363524,5263.03,1377.8,130869,51510,1
211,0,14.04,0.680498871,205000,74.18518519,0.126829268,0.5,2,0.049410146,3145.78,1059.62,96538,65694,0
215,0,18.39,0.153965347,80000,73.81481481,0.175,1,3,0.044043,931.98,528.78,531782,81876,1
216,0,27.84,0.154574382,60000,89.90909091,0.25,1,1,0.096016,1094.81,337.56,239781,37064,1
218,0,14.31,0.211484848,25000,83.25,0.2,0.5,1,0.0744912,630.5,141.37,33000,6979,1
222,0,15.81,0.482793478,151000,66.23333333,0.264900662,0.5,3,0.068957086,1526.92,1051.99,160259,77372,1
232,0,12.9,0.173703691,44000,111.3333333,0.113636364,0.5,2,0.041926364,379.43,79.9,269361,46789,0
234,0,18.03,0.408652537,48000,83.5,0.208333333,0.5,1,0.0576425,477.31,437.42,51430,21017,0
242,0,13.47,0.240582628,80000,51.46153846,0.1375,0.5,6,0.0547965,1676.87,410.71,168890,40632,1
243,0,16.93,0.79837368,35500,143.3571429,0.092957746,0.5,0,0.037047887,390.87,154.93,53495,42709,0
246,0,33.23,0.185983632,150000,56.25714286,0.11,0.5,2,0.0401992,1263.45,238.46,566609,105380,1
247,0,23.73,0.869711139,80000,71.28571429,0.1875,1,6,0.0588885,614.07,923.92,96240,83701,0
249,0,21.32,0.151702938,72000,64.61290323,0.061111111,1,4,0.025093333,402.75,196.05,245282,37210,0
250,0,18.66,0.092570436,96000,111.2222222,0.197916667,1,2,0.0603875,1015.87,1471.97,427091,39536,1
251,0,27.2,0.815442814,35300,118,0.088526912,0.5,3,0.034735411,375.62,130.69,37273,30394,0
253,0,17.23,0.128229462,50000,50.125,0.4,1,0,0.1082856,978.73,812.01,127498,16349,1
256,0,26.88,0.395130398,65000,60.51515152,0.215384615,1,3,0.085822154,1091.52,389.84,95285,37650,1
258,0,19.2,0.185887308,275000,68.79310345,0.029090909,1,1,0.011862109,737.37,334.89,655736,121893,1
259,0,16.31,0.635660857,90000,71.10714286,0.077777778,1,4,0.030297333,503.86,173.78,79813,50734,0
263,0,18.17,0.682211163,58500,44.62222222,0.427350427,0.5,2,0.131483077,781.71,1089.98,239313,163262,0
271,0,3.67,0.083978102,35000,223.3333333,0.071428571,0,4,0.026845714,123.84,31.65,27400,2301,0
273,0,16.07,0.143166227,98000,76.80769231,0.285714286,1,3,0.094402041,1073.35,1772.53,300427,43011,1
277,0,13.72,0.15117251,90000,90.63636364,0.166666667,1,4,0.046609333,527.22,498.04,324219,49013,1
279,0,13.82,0.12057325,109000,70.78571429,0.183486239,1,2,0.067064587,2046.84,383.08,207658,25038,1
281,0,11.52,0.718149926,55000,200.8,0.181818182,0.5,0,0.073106182,462.39,200.74,21664,15558,0
283,0,22.6,0.133279857,84000,91,0.132142857,1,1,0.05147,427.03,1365.12,300443,40043,0
285,0,20.58,0.225595238,33000,89.72727273,0.059090909,0.5,1,0.022694545,94.54,29.26,43680,9854,0
287,0,16.62,0.394132245,46800,83.33333333,0.170940171,0.5,0,0.063658974,601.68,139.87,49968,19694,1
294,0,0.75,0.001106214,80000,222.6666667,0.1875,1,3,0.07539,1045.84,451.45,351650,389,1
295,0,12.08,0.062076599,52000,133.7333333,0.254807692,1,5,0.098563846,1285.71,404.46,346008,21479,1
298,0,18.89,0.096446076,95000,71.46428571,0.025263158,1,9,0.009771789,174,52.8,447224,43133,0
299,0,19.97,0.21525976,78000,110.8888889,0.278205128,1,0,0.077801538,505.5,488.96,198876,42810,1
301,0,17.61,0.406969215,85000,58.88235294,0.058823529,0.5,10,0.021909176,502.86,115.86,50967,20742,0
302,0,27.51,0.627947828,138000,104.9473684,0.202898551,1,2,0.074857391,2124.72,436.98,258453,162295,0
308,0,9.11,0.060591177,115000,111.3888889,0.173913043,1,3,0.069307826,2368.7,938.98,360366,21835,1
309,0,5.44,0.324953318,250000,80.08,0.16,1,3,0.05958336,1999.4,466.93,109785,35675,1
310,0,15.46,0.827516821,80000,47.78571429,0.125,1,1,0.0502605,934.55,398.72,79515,65800,0
312,0,2.42,0.475588235,50000,165.4166667,0.08,1,0,0.0307224,292.01,87.83,6800,3234,0
314,0,17.68,0.183054377,109000,118.0588235,0.183486239,0.5,0,0.067064587,5641.92,436.27,128694,23558,1
315,0,18.01,0.31021219,220000,58.35294118,0.109090909,1,3,0.040998,1789.11,444.55,378528,117424,1
319,0,5.44,0.120142857,17000,402.4,0.164705882,0,2,0.07248,300.78,208.19,7000,841,0
321,0,27.7,0.743785171,62000,44.4,0.193548387,1,1,0.075402581,1156.47,387.96,106801,79437,0
322,0,1.45,0.007895925,66000,154,0.145454545,0.5,1,0.055863636,700.67,216.05,108537,857,1
324,0,11.81,0.46961165,76000,153.5384615,0.046052632,0.5,1,0.01731,437.7,108.9,41200,19348,0
330,0,17.58,0.259145106,60000,71.25,0.138333333,0,1,0.056406,765.01,388.18,256640,66507,0
332,0,22.64,0.527786393,100000,66.76666667,0.2,1,2,0.0553236,711.91,656.09,106401,56157,1
333,0,9.92,0.187194707,180000,76.96153846,0.155,0.5,2,0.045242,1250.34,1439.36,213115,39894,1
335,0,18.61,0.078946399,71000,87,0.014084507,1,1,0.005447324,72.49,23.65,380182,30014,0
339,0,5.65,0.374476842,125000,83.5,0.0512,1,3,0.01966464,625.31,204.13,57344,21474,1
342,0,18.08,0.707861303,76000,165.9166667,0.157894737,0.5,4,0.05217,225.86,506.85,43606,30867,0
344,0,21.22,0.486696673,139500,51.30769231,0.172043011,0.5,3,0.066065376,2345.11,646.88,519231,252708,1
346,0,10.15,0.63225783,75000,111.3333333,0.133333333,1,2,0.0380976,342.59,355.03,27522,17401,0
347,0,2.59,0.049230769,70000,74.22222222,0.428571429,0.5,1,0.186082286,1930.71,1446.13,15600,768,1
348,0,12.86,0.720743309,113000,87.08695652,0.079646018,1,4,0.033150796,605.64,270.71,69796,50305,0
353,0,7.81,0.169010866,120000,249.875,0.208333333,1,0,0.077594,3152.46,706.82,249410,42153,1
354,0,17.98,0.201809485,79500,76.80769231,0.314465409,1,2,0.125301132,2357.15,930.05,265711,53623,1
359,0,30.38,0.669162688,62000,100.2,0.161290323,1,1,0.066226452,1150.88,552.15,82932,55495,0
360,0,15.34,0.193686128,78000,51.17948718,0.128205128,1,1,0.032635385,523.98,319.02,331619,64230,1
362,0,16.55,0.170649664,105000,154.1538462,0.095238095,1,2,0.036572571,729.99,219.56,290150,49514,1
364,0,19.97,0.448049696,87000,95.47619048,0.172413793,0.5,2,0.043382069,594.58,333.26,100933,45223,1
367,0,17.23,1.064382957,75000,68.86206897,0.133333333,0,1,0.0547392,742.28,334.14,126928,135100,0
369,0,11.62,0.603656129,56000,69.10344828,0.178571429,0.5,5,0.069567857,963.73,329.08,43051,25988,0
370,0,20.16,0.874957893,60000,105.7368421,0.266666667,0.5,7,0.09547,549.76,1336.69,44529,38961,0
371,0,34.02,0.686620274,78900,125.3125,0.177439797,1,0,0.063525475,481.04,1178.88,82341,56537,0
372,0,19.71,0.430249733,118000,40.87755102,0.095762712,0.5,2,0.035667458,1136.46,261.85,322264,138654,1
380,0,25.31,0.155548533,45000,87.08695652,0.622222222,1,0,0.181656,1254.48,1408.06,120239,18703,0
386,0,14.24,0.064535364,120000,104.9473684,0.1,0,0,0.040208,836.67,361.16,234786,15152,0
389,0,14.4,0.188056955,196000,71.42857143,0.107142857,1,4,0.040266122,1565.48,388.99,364145,68480,1
396,0,17.16,0.665716184,93500,52.86842105,0.101604278,1,8,0.042871444,630.22,355,82765,55098,0
398,0,8.79,0.72115864,90000,64.58064516,0.111111111,0.5,2,0.043589333,714.71,259.99,60174,43395,0
412,0,12.52,0.54971694,55000,222.7777778,0.282272727,0.5,2,0.080655273,713.64,700.19,41334,22722,1
418,0,33.01,0.258361476,67000,79.96,0.167164179,1,1,0.069587463,753.56,402.67,319800,82624,1
427,0,10.8,0.518292077,50000,154.1538462,0.4,1,1,0.1321632,569.79,1033.69,40236,20854,1
428,0,3.04,0.858732782,19719,223.5555556,0.050712511,0,1,0.02020995,118.44,44.61,18150,15586,0
430,0,34.04,0.446535001,50000,91.18181818,0.1,0.5,2,0.0440064,537.11,366.47,68456,30568,1
431,0,21.52,0.57931027,75000,55.63888889,0.4,1,0,0.1489808,3782.96,909.44,185493,107458,1
432,0,22.14,0.194376419,67000,55.61111111,0.089552239,1,2,0.033655522,447.28,113.8,435701,84690,0
433,0,33.37,0.78627907,80000,110.6111111,0.25,1,0,0.112089,1243.17,975.95,60200,47334,0
438,0,13.23,0.838371427,114000,62.6875,0.131578947,1,3,0.05744,634.95,441.03,108242,90747,0
439,0,34.72,0.520939609,20000,143.0714286,0.25,1,0,0.09225,5000,0,57045,29717,0
440,0,13.08,0.726770326,61000,95.19047619,0.213114754,1,1,0.063682623,712.91,893.35,96084,69831,0
444,0,25.73,0.176896491,70000,86.47826087,0.357142857,1,1,0.084298286,1418.82,538.81,271396,48009,1
449,0,7.05,0.929120735,150000,77.03846154,0.166666667,1,0,0.0664096,1759.05,714.67,76200,70799,0
451,0,11.22,0.075702598,68000,58.73529412,0.058823529,1,5,0.022754118,4000,35.59,324652,24577,0
456,0,14.11,0.56297619,57000,502.25,0.473684211,0,1,0.121951579,1397.35,997.88,42000,23645,0
457,0,20.27,0.118564255,63000,167.4166667,0.206349206,1,3,0.077561905,1296.28,326.76,275007,32606,1
458,0,10.91,0.077818861,80000,111.1111111,0.1875,0.5,2,0.0614415,733.17,1279.13,548209,42661,1
459,0,1.8,0.717559064,50000,118.2352941,0.06,0,3,0.0272928,246.9,204.4,16846,12088,0
463,0,12.36,0.581940115,112000,198.7,0.035714286,1,2,0.015380357,171.88,107.46,42348,24644,0
467,0,38.49,0.420142081,100000,100.25,0.06,1,4,0.0244656,695.22,315.12,254502,106927,1
470,0,11.06,0.127932582,70000,64.61290323,0.171428571,1,2,0.065838857,1172.38,357.57,181197,23181,1
471,0,39.03,0.108949176,40000,118.1176471,0.4,1,1,0.159408,1125.66,489.74,404473,44067,1
473,0,27.43,0.585763597,41000,134.1333333,0.263414634,0.5,5,0.082050732,446.77,686.01,53595,31394,0
474,0,12.13,0.138504756,73000,50.1,0.164383562,1,2,0.064032329,863.74,315.26,474518,65723,1
480,0,11.2,0.711735537,114000,154.3076923,0.24122807,0.5,0,0.090670526,2742.06,691.24,57475,40907,0
481,0,44.35,0.532001816,48000,95.23809524,0.5390625,1,2,0.1893,913.38,2169.01,112353,59772,0
483,0,10.15,0.091386764,90000,100.15,0.444444444,0.5,1,0.145638667,1955.11,3458.67,260924,23845,1
484,0,23.35,0.691070506,55000,47.69047619,0.045454545,1,1,0.019472727,275.98,165.52,73554,50831,0
485,30,4.87,0.25056,36000,401.6,0.194444444,0.5,7,0.086716667,569.67,440.42,6250,1566,0
488,0,16.05,0.110198643,79500,54.05405405,0.188679245,1,1,0.06048,294.09,473.29,421811,46483,0
490,0,21.5,0.611690209,35000,100,0.185714286,1,2,0.074002286,457.38,181.49,30795,18837,0
492,0,41.51,0.786465569,41000,64.5483871,0.780487805,0.5,3,0.255755122,1240.08,2159.91,110858,87186,0
493,0,11.83,0.625342668,69000,167.25,0.144927536,1,0,0.05566087,729.86,225.05,47422,29655,0
497,0,17.25,0.545528811,68000,53.94594595,0.220588235,1,2,0.056791765,776.09,493.82,68550,37396,1
498,0,37.73,0.692607242,50000,47.73809524,0.3,0.5,3,0.1223256,1031.04,554.66,179500,124323,0
502,0,18.85,0.148369222,24000,124,0.1875,1,2,0.06919,456.54,95.3,98174,14566,0
507,0,13.53,0.550035211,62000,95.14285714,0.241935484,1,3,0.104189032,1307.96,830.72,28400,15621,1
510,0,19.15,0.495112945,43000,142.7857143,0.813953488,0.5,3,0.26672093,1356.33,2424.96,36832,18236,0
512,0,8.93,0.651029567,388000,110.1111111,0.090206186,1,0,0.036275258,3270.41,1396.65,100722,65573,0
514,0,3.85,0.243294118,30000,223,0.166666667,0.5,1,0.065396,600.73,210.66,8500,2068,1
517,0,469.09,0.171709226,3300,58.76470588,7.575757576,0.5,6,3.019054545,2356.82,930.83,474197,81424,0
518,0,23.15,0.233172155,90000,62.28125,0.222222222,1,0,0.081222667,2046.84,383.08,263269,61387,1
519,0,18.65,0.200901647,48000,154.3846154,0.05,0.5,2,0.020385,164.99,77.82,159486,32041,0
522,0,12.23,0.101818869,77000,105.6315789,0.311688312,0.5,0,0.121427532,2312.95,789.8,264450,26926,1
525,0,8.29,0.538385093,45000,167.25,0.244444444,0.5,2,0.098288,11000,320.04,16100,8668,1
526,0,25.76,0.175434459,82000,105.3684211,0.091463415,1,1,0.044117561,731.27,765.32,279831,49092,1
527,0,37.87,0.192859759,85600,74,0.172897196,1,1,0.075071495,1611.64,1036.21,499591,96351,1
528,0,12.31,0.50033465,78000,69.13793103,0.256410256,1,1,0.098476923,2452.11,737.9,59764,29902,1
529,0,21.29,0.674243688,90000,105.4736842,0.111111111,0.5,1,0.048896,1265.32,737.14,113941,76824,0
531,0,0.88,0.022075472,60000,334.3333333,0.166666667,1,6,0.06642,942.75,378.99,5300,117,1
532,0,20.44,0.311426636,54600,154.2307692,0.238095238,0.5,0,0.089481319,969.13,229.3,41342,12875,1
533,0,32.67,0.094008776,40000,182.1818182,0.8,0.5,2,0.349236,2047.52,1379.24,397665,37384,0
534,0,75.45,0.306385962,24000,76.30769231,1.333333333,0.5,4,0.50515,750.99,2177.79,176888,54196,0
539,0,18.5,0.173846744,81000,32.12903226,0.148148148,0.5,12,0.05689037,875.98,263.48,93778,16303,0
544,0,21.34,0.615091443,110000,77.03846154,0.109090909,1,1,0.030508364,421.79,407.81,74254,45673,0
545,0,16.65,0.798110236,42000,247.125,0.238095238,1,5,0.100462857,663.38,373.69,31750,25340,0
546,0,83.4,0.652106198,33975,68.93103448,1.177336277,0.5,1,0.452100662,2919.86,878.26,123279,80391,0
548,0,14.22,0.6450733,118000,68.75862069,0.127118644,1,2,0.034404407,547.77,456.65,89086,57467,0
552,0,30.97,0.601197619,73000,73.7037037,0.157534247,1,0,0.04010137,618.06,360.05,174179,104716,0
554,0,4.57,0.584181702,275000,46.30232558,0.043636364,0.5,1,0.017121164,1442.29,555.88,88012,51415,1
557,0,13.23,0.097043344,78000,57.11428571,0.512820513,1,3,0.136827692,1484.87,1130.03,321681,31217,0
559,0,25.01,0.102242063,65000,48.82926829,0.153846154,1,1,0.057300923,1261,286.82,260519,26636,1
562,0,17.78,0.470253949,94000,87.17391304,0.085106383,1,7,0.035910638,530.72,306.06,70211,33017,0
565,0,27.4,0.100765845,200000,79.28,0.1,0.5,0,0.0254556,1315.39,794.88,1598627,161087,1
566,0,16.53,0.058344004,120000,132.0666667,0.291666667,0.5,0,0.107623,3550.61,741.24,637272,37181,1
567,0,11.08,0.186217674,179000,83.375,0.067039106,0.5,1,0.025928045,869.83,293.76,394839,73526,1
569,0,10.72,0.572630206,80000,99.9,0.1625,1,2,0.053691,13000,86.79,29127,16679,1
570,0,21.34,0.299540659,125000,60.6969697,0.16,1,8,0.07135488,2119.21,1574.97,256890,76949,0
572,0,21.93,0.551204819,62000,250.75,0.096774194,0.5,1,0.039454839,553.1,253.25,51792,28548,1
573,0,5.36,0.561168545,200000,105.5789474,0.15,1,4,0.0495612,854.69,1550.54,49429,27738,1
575,0,6.84,0.661161069,138000,58.82352941,0.02173913,1,4,0.008469565,363,122.26,49041,32424,0
576,0,29.53,0.167796146,58000,60.60606061,0.682758621,1,3,0.316768966,3189.99,2883.81,328470,55116,0
579,0,28.61,0.737588879,120000,54.05405405,0.333333333,1,2,0.13876,4542.18,2362.38,281562,207677,0
581,0,29.49,0.582368508,44000,143.5,0.136363636,1,1,0.05754,398.05,224.22,54414,31689,0
582,0,33.14,0.119868204,102000,74.07407407,0.12254902,0.5,5,0.033175294,768.66,623.76,686821,82328,1
586,0,5.74,0.600989011,60000,153.3076923,0.583333333,0.5,3,0.246134,3116.53,1743.89,18200,10938,0
589,0,18.18,0.070724673,100000,69.10344828,0.15,1,5,0.0580224,1826.96,574.09,775274,54831,1
595,0,16.34,0.622814152,60000,117.4705882,0.225,1,1,0.062938,13500,712.57,49180,30630,0
598,0,23.05,0.222706069,39000,79.52,0.08974359,0.5,2,0.035766154,329.98,129.15,83819,18667,0
602,0,15.26,0.305778798,60000,167.6666667,0.083333333,1,3,0.03398,579.35,266.37,39195,11985,1
608,0,12.33,0.254068337,190000,36.85185185,0.052631579,1,1,0.013700842,381.74,262.99,1049446,266631,0
611,0,12.22,0.834967742,48222,133.2666667,0.37327361,1,0,0.108975986,1014.1,1143.46,46500,38826,0
621,0,10.94,0.354637973,75000,111.3333333,0.16,1,4,0.0627776,1442.29,512.24,63476,22511,1
626,0,21.6,0.208632561,85000,74.2962963,0.235294118,0.5,4,0.061264941,1022.34,701.38,283647,59178,1
628,0,23.57,0.135846698,113000,66.76666667,0.194690265,0.5,3,0.04899823,1167.01,667.05,467262,63476,1
630,0,6.07,0.06452634,90000,222,0.094444444,1,2,0.036794667,1028.46,346.42,199035,12843,1
633,0,16.89,0.150588166,210000,62.65625,0.142857143,1,2,0.063204,1892,1393.84,542619,81712,1
635,0,8.88,0.224635583,53000,99.45,0.377358491,1,0,0.110169057,896.07,1032.45,51795,11635,1
638,0,18.42,0.086529812,90000,54.08108108,0.388888889,0.5,1,0.151481333,1672.19,579.79,484700,41941,1
642,0,44.07,0.758230779,35000,80.28,0.428571429,0.5,1,0.118577143,533.93,492.3,107098,81205,0
644,0,29.87,0.609177027,93000,79.92,0.378494624,0.5,0,0.13964129,1775.75,441.19,201416,122698,0
647,0,20.68,0.413060389,27000,182.0909091,0.37037037,1,0,0.159502222,429.7,278.35,24425,10089,0
648,0,9.94,0.114295871,300000,133.3333333,0.116666667,1,0,0.0451284,4262.89,1339.54,610407,69767,1
650,0,20.38,0.189673553,100000,55.41666667,0.24,1,0,0.0649704,1475.82,1197.63,475575,90204,1
651,0,1.12,0.201960784,45000,668.3333333,0.333333333,0.5,5,0.109229333,581.3,1039.26,5100,1030,1
653,0,7.19,0.419248454,120000,117.5294118,0.333333333,1,2,0.084851,1565.41,935.99,94605,39663,1
657,0,7.42,0.489709229,50000,68.86206897,0.2,0.5,1,0.0751632,745.46,185.24,39550,19368,1
658,0,21.62,0.284490541,65000,68.93103448,0.146153846,0.5,5,0.056939077,9500,351.85,208260,59248,1
662,0,34,0.117362374,44000,116.4117647,0.136363636,0,1,0.053124545,725.95,241.05,266755,31307,0
663,0,36.74,0.414955643,55000,118.0588235,0.545454545,1,0,0.19524,504.57,1242.11,103252,42845,0
665,0,5.85,0.144975457,95000,110.9444444,0.147368421,1,3,0.038362105,534.43,397.86,107363,15565,1
667,0,18.24,0.2157233,80000,118.1176471,0.125,1,1,0.0527505,1120.37,629.08,234073,50495,1
671,0,18.2,0.747189423,54000,54.05405405,0.222222222,1,9,0.085346667,1471.27,442.74,109675,81948,0
672,0,20.61,0.122381202,169880,57.08571429,0.09418413,1,3,0.039746645,1061.28,612.52,767814,93966,1
673,0,10.96,0.492964538,52000,117.7647059,0.461538462,0.5,3,0.179806154,2903.79,1019.8,22813,11246,0
675,0,20.45,0.753630575,107000,53.72972973,0.079439252,1,5,0.033523738,756.77,420,123603,93151,0
677,0,12.56,0.063674972,185000,34.63157895,0.108108108,1,1,0.043076757,1407.26,571.73,556875,35459,1
682,0,16.77,0.709715377,65000,95.42857143,0.313846154,1,4,0.108083077,933.89,1966.3,45042,31967,0
683,0,8.47,0.114247592,90000,111.1666667,0.027777778,0.5,5,0.010897333,178.68,65,191864,21920,0
687,0,9.01,0.229833851,170000,100.15,0.052941176,0.5,2,0.019129412,696.6,113.74,136925,31470,1
689,0,10.85,0.412046308,80000,223.5555556,0.0875,0.5,4,0.035673,319,146.08,31960,13169,0
694,0,1.2,0.112037037,35000,286.1428571,0.514285714,0.5,1,0.223299429,1556.26,967.63,10800,1210,0
698,0,5.81,0.072898393,250000,143.2857143,0.0624,1,1,0.02632944,1034.89,596.82,460600,33577,1
699,0,23.6,0.441868023,54000,33.94915254,0.111111111,1,12,0.043595556,725.18,252.45,400038,176764,0
705,0,9.38,0.079044823,60000,105.4736842,0.166666667,0,2,0.068434,915.3,437.74,265710,21003,0
706,0,11.3,0.661193775,80000,100.35,0.125,1,4,0.0465495,752.07,154.96,52623,34794,0
